Omadeas Classifier Service v2 — Field Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field-level schema for the 10 classifier framework entities. Columns match the convention from ProjectOps_-_art_3_0_-_Data_Modelv2_updated.xlsx (62 cols). Use <module> as prefix placeholder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A · IDENTITY & TAXONOMY,,,,,,,,,,,,B · FIELD DEFINITION,,,,,,,,,,,,,,,C · SAMPLE DATA & EXPLANATION,,,,,,,,,,D · DESIGN & DEVELOPMENT,,,,F · SECURITY & GOVERNANCE,,,,,,,,,,,G · SEED DATA INSTRUCTIONS,,,,,,,,,H · MAP
source,phase,design_status,model_version,realm,microservice,category,sub_category,type,unique_field_ref,entity,entity_fields,data_type,length,"is_primary_key
(multiple for composite)",is_unique,is_nullable,fk_reference,check_constraints,index_name,unique_cns_1,unique_cns_2,unique_cns_3,unique_cns_4,unique_cns_5,default_value,data_limited_to,sample_data,"data from
classifier","classifier
values",composite_key,explanation,relationship_explanation,design_rationale,"calculated
(yes/no)",calculation,calculation_triggers,outstanding_design_questions,development_instructions,"example_records_configurations
at_entity_level","application_validations
(for the front end)",data_category,pii_type,obligation_mapping,lawful_bases,special_conditions,default_trust,sensitivity,masking,breach_impact,retention_policy,"requires_special
condition","microservice
(seed instructions)","entities
(policies)","entity_security
config","entity_trust_upgrade
trigger_relation","entity_verification
methods_relation","fields
(policies)","fields_policies
lawful_bases","fields_policies
special_conditions","fields_policies
organisation_specific",entity_map #
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Classifier Registry,entity.field,<module>.classifier.is_active,classifier,is_active,BOOLEAN,,No,No,No,,,,,,,,,TRUE,tenant-scoped,TRUE,,,,Soft-retire flag. Inactive classifiers are hidden from new assignment but remain readable for historical assignments.,No FK. Read by application filters.,"Soft-delete rather than hard-delete. Classifiers cannot be hard-deleted in v1 — would orphan values, assignments, and history.",No,,,,NOT NULL DEFAULT TRUE. Admin toggle.,,Admin-only toggle. Inactive classifiers hidden from selection UI.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,1
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Classifier Registry,entity.field,<module>.classifier.created_at,classifier,created_at,TIMESTAMPTZ,,No,No,No,,,,,,,,,now(),tenant-scoped,2026-01-15T09:00:00Z,,,,Creation timestamp.,Denormalised from audit_events.,Denormalised audit timestamp. Authoritative source is audit_events.,Yes,Set to now() on INSERT.,Record creation.,,NOT NULL DEFAULT now(). Immutable after creation.,,Read-only. Displayed as creation date.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,1
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Classifier Registry,entity.field,<module>.classifier.created_by,classifier,created_by,UUIDv4,,No,No,Yes,authentication.principals.id,,,,,,,,,tenant-scoped,pr_system_001,,,,Creator principal.,FK to authentication.principals.id. SYSTEM principal for seed rows.,Denormalised audit principal. Nullable for bootstrap/seed rows.,Yes,Set to acting principal_id on INSERT.,Record creation.,,FK to authentication.principals.id. NULL allowed for bootstrap rows. Immutable.,,Read-only. Displayed as 'Created by' with principal display_name.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,1
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Classifier Registry,entity.field,<module>.classifier.updated_at,classifier,updated_at,TIMESTAMPTZ,,No,No,Yes,,,,,,,,,,tenant-scoped,2026-03-10T14:30:00Z,,,,Last modified.,Denormalised from audit_events.,Denormalised audit timestamp. NULL on initial creation.,Yes,Set to now() on every UPDATE.,Any record modification.,,NULL allowed. Set via trigger or application on UPDATE.,,Read-only. Displayed as 'Last modified'.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,1
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Classifier Registry,entity.field,<module>.classifier.updated_by,classifier,updated_by,UUIDv4,,No,No,Yes,authentication.principals.id,,,,,,,,,tenant-scoped,pr_admin_001,,,,Last modifier.,FK to authentication.principals.id. May be SYSTEM or admin.,Denormalised audit principal. NULL when no update has occurred.,Yes,Set to acting principal_id on every UPDATE.,Any record modification.,,FK to authentication.principals.id. NULL allowed. Set on UPDATE.,,Read-only. Displayed as 'Modified by' with principal display_name.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,1
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity,<module>.classifier_value,classifier_value,classifier_value,,,,,,,,,,,,,,,tenant-scoped,,,,,Allowed values per classifier. Supports flat or hierarchical via parent_value_id self-FK. 14 native fields including colour and icon for UI display.,,,No,,,,,,,operational,,,,,40,CONFIDENTIAL,MASK_FULL,HIGH,,,Y,Y,Y,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity.field,<module>.classifier_value.id,classifier_value,id,UUIDv4,,Yes,Yes,No,,,,,,,,,gen_random_uuid(),tenant-scoped,val-uuid-0001,,,,Primary key.,"Referenced as FK by node_classifier_assignment, node_classifier_assignment_history (from/to), classifier_value_policy.default_value_id, classifier_value_constraint (source/target), and self-FK by parent_value_id.",UUIDv4 PK as per framework standard.,No,,,,"PK, NOT NULL, DEFAULT gen_random_uuid().",,Read-only. Auto-generated.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity.field,<module>.classifier_value.classifier_id,classifier_value,classifier_id,UUIDv4,,No,No,No,classifier.id (soft FK),,idx_classifier_value_classifier,,,,,,,tenant-scoped,cls-uuid-0001,,,,Parent classifier. Values are scoped to their classifier.,FK to <module>_classifier.id. ON DELETE RESTRICT (cannot delete classifier with values).,Strong ownership — a value cannot exist without its classifier.,No,,,,NOT NULL. FK to <module>_classifier.id. ON DELETE RESTRICT.,,System-set on creation.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity.field,<module>.classifier_value.parent_value_id,classifier_value,parent_value_id,UUIDv4,,No,No,Yes,classifier_value.id (soft FK),,idx_classifier_value_parent,,,,,,,tenant-scoped,val-uuid-0010 (for child) or NULL (for root/flat),,,,Self-FK for HIERARCHICAL classifiers. NULL for flat classifiers.,Self-FK to <module>_classifier_value.id. Child's classifier_id must match parent's classifier_id (no cross-classifier parenting).,Reserves capability for HIERARCHICAL classifiers without a future migration. v1 UI hides hierarchical classifiers; v2 will render trees.,No,,,Should hierarchy depth be capped? Currently unbounded.,NULL allowed (flat classifiers and tree roots). FK to <module>_classifier_value.id. CHECK that parent.classifier_id = this.classifier_id.,,Tree picker for HIERARCHICAL classifiers. NULL for flat.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity.field,<module>.classifier_value.code,classifier_value,code,VARCHAR,50,No,Yes,No,,,,"UNIQUE(classifier_id, code)",,,,,,tenant-scoped,CRITICAL,,,,Machine-readable code for the value. Stable identifier.,No FK. Used as the natural key in seed scripts.,UPPER_SNAKE_CASE convention. UNIQUE per classifier.,No,,,,"NOT NULL. UPPER_SNAKE_CASE. UNIQUE(classifier_id, code). Max 50.",,Read-only after creation. Validated against pattern.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity.field,<module>.classifier_value.name,classifier_value,name,VARCHAR,100,No,No,No,,,,,,,,,,tenant-scoped,Critical,,,,Display label for the value.,No FK. Display only.,Separate from code to allow renames.,No,,,,NOT NULL. Max 100.,,Required. Max 100.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity.field,<module>.classifier_value.description,classifier_value,description,TEXT,500,No,No,Yes,,,,,,,,,,tenant-scoped,Highest priority. Drop everything.,,,,Optional description shown in the value tooltip.,No FK.,Helps users understand what each value means in this tenant's conventions.,No,,,,NULL allowed. Max 500.,,Optional.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity.field,<module>.classifier_value.order,classifier_value,order,INTEGER,,No,No,No,,,,,,,,,100,tenant-scoped,10,,,,Sort order within the classifier's value list.,No FK.,"Manual ordering. Critical/High/Medium/Low etc. should appear in priority order, not alphabetically.",No,,,,NOT NULL DEFAULT 100. Steps of 10 recommended.,,Integer.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity.field,<module>.classifier_value.colour,classifier_value,colour,VARCHAR,7,No,No,Yes,,CHECK (colour ~ '^#[0-9a-fA-F]{6}$' OR colour IS NULL),,,,,,,,tenant-scoped,#ef4444,,,,Hex colour code for UI chips and indicators.,No FK. Read by UI for rendering.,Per-value colour rather than per-classifier — each value has its own visual treatment.,No,,,,NULL allowed. Hex format only. Validated by CHECK.,,Colour picker. Optional.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity.field,<module>.classifier_value.icon,classifier_value,icon,VARCHAR,20,No,No,Yes,,,,,,,,,,tenant-scoped,??,,,,Optional unicode glyph or short string displayed alongside the value name.,No FK.,Visual reinforcement of value meaning. Unicode rather than image refs for portability.,No,,,,NULL allowed. Max 20. Unicode-safe.,,Optional. Glyph picker.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity.field,<module>.classifier_value.is_active,classifier_value,is_active,BOOLEAN,,No,No,No,,,,,,,,,TRUE,tenant-scoped,TRUE,,,,Soft-retire flag.,No FK.,Inactive values remain assignable in existing rows but hidden from new selection.,No,,,,NOT NULL DEFAULT TRUE.,,Admin toggle.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity.field,<module>.classifier_value.created_at,classifier_value,created_at,TIMESTAMPTZ,,No,No,No,,,,,,,,,now(),tenant-scoped,2026-01-15T09:00:00Z,,,,Creation timestamp.,Denormalised from audit_events.,Denormalised audit timestamp. Authoritative source is audit_events.,Yes,Set to now() on INSERT.,Record creation.,,NOT NULL DEFAULT now(). Immutable after creation.,,Read-only. Displayed as creation date.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity.field,<module>.classifier_value.created_by,classifier_value,created_by,UUIDv4,,No,No,Yes,authentication.principals.id,,,,,,,,,tenant-scoped,pr_system_001,,,,Creator principal.,FK to authentication.principals.id. SYSTEM principal for seed rows.,Denormalised audit principal. Nullable for bootstrap/seed rows.,Yes,Set to acting principal_id on INSERT.,Record creation.,,FK to authentication.principals.id. NULL allowed for bootstrap rows. Immutable.,,Read-only. Displayed as 'Created by' with principal display_name.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity.field,<module>.classifier_value.updated_at,classifier_value,updated_at,TIMESTAMPTZ,,No,No,Yes,,,,,,,,,,tenant-scoped,2026-03-10T14:30:00Z,,,,Last modified.,Denormalised from audit_events.,Denormalised audit timestamp. NULL on initial creation.,Yes,Set to now() on every UPDATE.,Any record modification.,,NULL allowed. Set via trigger or application on UPDATE.,,Read-only. Displayed as 'Last modified'.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Values,entity.field,<module>.classifier_value.updated_by,classifier_value,updated_by,UUIDv4,,No,No,Yes,authentication.principals.id,,,,,,,,,tenant-scoped,pr_admin_001,,,,Last modifier.,FK to authentication.principals.id. May be SYSTEM or admin.,Denormalised audit principal. NULL when no update has occurred.,Yes,Set to acting principal_id on every UPDATE.,Any record modification.,,FK to authentication.principals.id. NULL allowed. Set on UPDATE.,,Read-only. Displayed as 'Modified by' with principal display_name.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,2
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Policies,entity,<module>.classifier_value_policy,classifier_value_policy,classifier_value_policy,,,,,,,,,,,,,,,tenant-scoped,,,,,"Selection rules per classifier (one policy per classifier, UNIQUE). Includes selection_mode FK to lookup, default_value, allow_custom_values, requires_reason_on_change (governance hook).",,,No,,,,,,,operational,,,,,40,CONFIDENTIAL,MASK_FULL,HIGH,,,Y,Y,Y,,,Y,,,,3
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Policies,entity.field,<module>.classifier_value_policy.id,classifier_value_policy,id,UUIDv4,,Yes,Yes,No,,,,,,,,,gen_random_uuid(),tenant-scoped,pol-uuid-0001,,,,Primary key.,Not typically referenced as FK — accessed via classifier_id lookup.,UUIDv4 PK.,No,,,,"PK, NOT NULL.",,Read-only.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,3
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Policies,entity.field,<module>.classifier_value_policy.classifier_id,classifier_value_policy,classifier_id,UUIDv4,,No,Yes,No,classifier.id (soft FK),,idx_classifier_policy_classifier,UNIQUE(classifier_id) — one policy per classifier,,,,,,tenant-scoped,cls-uuid-0001,,,,Parent classifier. UNIQUE — exactly one policy per classifier.,FK to <module>_classifier.id. UNIQUE enforces 1:1.,Separate policy entity (rather than columns on classifier) keeps audit trail independent and allows the policy schema to grow without bloating classifier.,No,,,,NOT NULL. UNIQUE. FK to <module>_classifier.id. ON DELETE CASCADE.,,System-set.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,3
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Policies,entity.field,<module>.classifier_value_policy.selection_mode_id,classifier_value_policy,selection_mode_id,UUIDv4,,No,No,No,classifier_selection_mode.id (soft FK),,,,,,,,,tenant-scoped,sm-uuid-0001,,,,"Selection mode (SINGLE_SELECT, MULTIPLE_SELECT, HIERARCHICAL).",FK to <module>_classifier_selection_mode.id.,FK to lookup (rather than inline CHECK) preserves mode metadata like allows_multiple flag.,No,,,,NOT NULL. FK to lookup.,,Dropdown of 3 modes.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,3
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Policies,entity.field,<module>.classifier_value_policy.min_selected,classifier_value_policy,min_selected,INTEGER,,No,No,Yes,,,,,,,,,,tenant-scoped,NULL or 1,,,,Lower bound on number of values that can be assigned.,No FK.,NULL means no lower bound. Combined with max_selected and is_required.,No,,,,NULL allowed. INTEGER. Application enforces.,,Integer or unset.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,3
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Policies,entity.field,<module>.classifier_value_policy.max_selected,classifier_value_policy,max_selected,INTEGER,,No,No,Yes,,,,,,,,,,tenant-scoped,1 (SINGLE) or 3 (MULTIPLE up to 3) or NULL (unlimited),,,,"Upper bound. 1 for SINGLE_SELECT, NULL or >=2 for MULTIPLE_SELECT.",No FK.,Caps multi-select to prevent runaway assignments (e.g. up to 3 strategic themes).,No,,,,SINGLE_SELECT => max_selected=1. MULTIPLE_SELECT => NULL or >=2. Application enforces.,,Integer or unset.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,3
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Policies,entity.field,<module>.classifier_value_policy.is_required,classifier_value_policy,is_required,BOOLEAN,,No,No,No,,,,,,,,,FALSE,tenant-scoped,FALSE,,,,Whether this classifier must be assigned on every node in scope.,No FK.,Surfaced as a red asterisk in the UI when TRUE. Note: profile_member.is_required can override per profile.,No,,,,NOT NULL DEFAULT FALSE.,,Admin toggle.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,3
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Policies,entity.field,<module>.classifier_value_policy.default_value_id,classifier_value_policy,default_value_id,UUIDv4,,No,No,Yes,classifier_value.id (soft FK),,,,,,,,,tenant-scoped,val-uuid-medium (e.g. PRIORITY=MEDIUM by default),,,,Optional default value auto-assigned on first interaction.,FK to <module>_classifier_value.id. Must belong to the policy's classifier (coherence check at app layer).,Enables sensible defaults — new TASKs auto-tagged with PRIORITY=MEDIUM rather than starting unassigned.,No,,,,NULL allowed. FK to classifier_value. Coherence: value.classifier_id must equal this.classifier_id.,,Value picker constrained to this classifier's values.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,3
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Policies,entity.field,<module>.classifier_value_policy.allow_custom_values,classifier_value_policy,allow_custom_values,BOOLEAN,,No,No,No,,,,,,,,,FALSE,tenant-scoped,FALSE,,,,Whether users can create ad-hoc values not in the predefined list.,No FK.,Most classifiers FALSE. TRUE for things like a TAGS classifier where vocabulary grows organically.,No,,,,NOT NULL DEFAULT FALSE.,,Admin toggle.,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,3
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Policies,entity.field,<module>.classifier_value_policy.requires_reason_on_change,classifier_value_policy,requires_reason_on_change,BOOLEAN,,No,No,No,,,,,,,,,FALSE,tenant-scoped,"TRUE (for RISK_PROBABILITY, governance-tracked)",,,,"Governance hook. When TRUE, UI requires a user-supplied reason on every value change. Reason captured in history.",No FK. Read by UI and history-write logic.,Enables governance escalation for sensitive classifiers without affecting routine ones. Reason captured in node_classifier_assignment_history.reason.,No,,,,NOT NULL DEFAULT FALSE. Application enforces reason capture in UI.,,"Admin toggle. When TRUE, modal shows reason field.",operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,3
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Policies,entity.field,<module>.classifier_value_policy.computation_mode,classifier_value_policy,computation_mode,VARCHAR,20,No,No,No,,"CHECK (computation_mode IN ('manual','computed','suggested'))",,,,,,,'manual',tenant-scoped,manual,,,,"How values are determined. manual=user picks; computed=system sets, no override; suggested=system suggests, user can override. v2 implements only 'manual'.",No FK. Read by application to gate the assignment UX.,Schema slot reserved in v2 so v3 doesn't need a migration on this hot path. Pairs with default_calculation_id below.,No,,,,NOT NULL DEFAULT 'manual'. CHECK enum. v2: every row is 'manual'.,,"v2: read-only, always 'manual'. v3: admin picker.",operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,3
framework_v1,P0,DRAFT,framework v1,<module>,<module>,Classifier,Policies,entity.field,<module>.classifier_value_policy.default_calculation_id,classifier_value_policy,default_calculation_id,UUIDv4,,No,No,Yes,"Calc Engine: calculation.id (soft FK, cross-service)",,,,,,,,,tenant-scoped,NULL (v2) or comp-uuid-financial-health (v3),,,,"Default calculation (from Calc Engine) applied when computation_mode IN ('computed','suggested') and no profile attachment overrides it. NULL when computation_mode='manual'. See §16.4.",Soft FK to Calc Engine: calculation.id (cross-service). NULL allowed.,Two-tier defaulting: policy provides the tenant-wide default calculation; profile attachments override per-project. The PM can pick a different calculation for their subtree without changing the tenant's default.,No,,,,NULL allowed. Soft FK validated at app layer. Must reference a calculation whose output type is classifier_value and whose values are a subset of this classifier's values (Calc Engine coherence check API).,,v2: always NULL. v3: calculation picker driven by the Calc Engine API (filtered to calculations matching this classifier's output values).,operational,,,,,40,INTERNAL,UNMASKED,LOW,,,,,,,,Y,,,,3
